id,level,word,meaning_en,full_entry,article,pos,plural,forms,examples,page
b1_0018,B1,"abheben, hebt ab, hob ab,","take off, take off, take off","abheben, hebt ab, hob ab,",,word,,hat abgehoben,Für die Reise habe ich 500 Euro von || meinem Konto abgehoben.,16
b1_0019,B1,"abholen, holt ab, holte ab,","pick up, picks up, picked up","abholen, holt ab, holte ab,",,word,,hat abgeholt,Meine Freundin hat mich vom Bahnhof || abgeholt.,16
b1_0020,B1,"abschreiben, schreibt ab,","write off, write off","abschreiben, schreibt ab,",,word,,,Er hat die Hausaufgaben von mir,16
b1_0021,B1,"schrieb ab,",wrote off,"schrieb ab,",,word,,hat abgeschrieben,abgeschrieben.,16
b1_0022,B1,"das Abitur (D)→A, CH:","the Abitur (D)→A, CH:","das Abitur (D)→A, CH:",das,noun,,,Meine Tochter hat gerade Abitur,16
b1_0023,B1,Matura,Matura,Matura,,noun,,,gemacht.,16
b1_0024,B1,"ablehnen, lehnt ab,","reject, reject","ablehnen, lehnt ab,",,word,,,"Er hat mein Angebot, ihm zu helfen,",16
b1_0025,B1,"lehnte ab, hat abgelehnt","refused, refused","lehnte ab, hat abgelehnt",,word,,,abgelehnt.,16
b1_0026,B1,"abmachen, macht ab,","cancel, cancel","abmachen, macht ab,",,word,,,"Wir hatten doch abgemacht, dass du",16
b1_0027,B1,"machte ab, hat abgemacht","made a deal, made a deal","machte ab, hat abgemacht",,word,,,die Getränke besorgst.,16
b1_0028,B1,"abnehmen, nimmt ab,","decrease, decrease","abnehmen, nimmt ab, 1.",,word,,,Morgen können wir den Verband,16
b1_0029,B1,"nahm ab,","nahm ab,","nahm ab,",,word,,hat abgenommen,abnehmen. || Ich habe zehn Kilo abgenommen.,16
b1_0030,B1,"abonnieren, abonniert,","subscribe, subscribed","abonnieren, abonniert,",,word,,,Diese Zeitschrift würde ich gerne,16
b1_0031,B1,"abonnierte, hat abonniert","subscribed, has subscribed","abonnierte, hat abonniert",,word,,,abonnieren.,16
b1_0032,B1,"das Abonnement, -s/-e","the subscription, -s/-e","das Abonnement, -s/-e",das,noun,-s/-e,,Ich habe das Abonnement gekündigt.,16
b1_0033,B1,"absagen, sagt ab, sagte","cancel, cancel, said","absagen, sagt ab, sagte",,word,,,"Ich muss unser Treffen leider absagen,",16
b1_0034,B1,"ab, hat abgesagt","off, canceled","ab, hat abgesagt",,preposition,,,weil ich krank geworden bin.,16
b1_0035,B1,"der Abschluss, ¨-e","the conclusion, ¨-e","der Abschluss, ¨-e",der,noun,¨-e,,Ein guter Schulabschluss ist sehr wichtig.,16
b1_0036,B1,"der Abschnitt, -e","the section, -e","der Abschnitt, -e",der,noun,-e,,Lesen Sie bitte den zweiten Abschnitt.,16
b1_0037,B1,"der Absender, -","the sender, -","der Absender, -",der,noun,-,,Schicken Sie das Paket an den,16
b1_0038,B1,"die Absenderin, -nen","the sender, -nen","die Absenderin, -nen",die,noun,-nen,,Absender zurück.,16
b1_0039,B1,"die Absicht, -en","the intention, -en","die Absicht, -en 1.",die,noun,-en 1.,,Entschuldigen Sie bitte. || Meine Tochter hat das nicht mit Absicht gemacht. || Hast du die Absicht zu studieren?,16
b1_0040,B1,absolut,absolutely,absolut 1.,,word,,,"Was Sie da sagen, ist absolut falsch. || Ich habe absolutes Vertrauen zu dir.",16
b1_0041,B1,"abstimmen, stimmt ab, Lasst","vote, vote, let","abstimmen, stimmt ab, Lasst",,word,,,uns über diesen Punkt abstimmen.,16
b1_0042,B1,"stimmte ab,",voted,"stimmte ab,",,word,,hat abgestimmt,,16
b1_0043,B1,"die Abteilung, -en","the department, -en","die Abteilung, -en",die,noun,-en,,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,16
b1_0044,B1,"der Abwart, -e","the caretaker, -e","der Abwart, -e",der,noun,-e,,"Der Abwart hat mir geholfen, den",16
b1_0045,B1,"die Abwartin, -nen (CH) →","the waiting woman, -nen (CH) →","die Abwartin, -nen (CH) →",die,noun,-nen (CH) →,,Schrank in die Wohnung zu tragen.,16
b1_0046,B1,"D, A: Hausmeister","D, A: caretaker","D, A: Hausmeister",,noun,,,,16
b1_0047,B1,abwärts,down,abwärts,,word,,,Von dort führt der Weg abwärts ins Tal.,16
b1_0048,B1,"abwaschen, wäscht ab,","wash off, washes off","abwaschen, wäscht ab,",,word,,,Ich muss noch das Geschirr abwaschen.,16
b1_0049,B1,"wusch ab,",washed off,"wusch ab,",,word,,hat abgewaschen,,16
b1_0050,B1,abwesend,absent,abwesend,,word,,,Herr Huber ist bis zum 25. || April abwesend.,16
b1_0051,B1,"achten, achtet, achtete,","pay attention, pay attention, pay attention","achten, achtet, achtete,",,word,,hat geachtet (auf),"Achten Sie bitte darauf, dass Sie || abschließen, wenn Sie gehen.",16
b1_0052,B1,Achtung!,Danger!,Achtung!,,noun,,,"Achtung, hier endet die Straße!",17
b1_0053,B1,"die Adresse, -n","the address, -n","die Adresse, -n",die,noun,-n,,Hast du schon meine neue Adresse?,17
b1_0054,B1,ähnlich,similar,ähnlich 1.,,adjective,,,Emilia ist in einer ganz ähnlichen Situation wie ich. || Oleg sieht seinem Bruder sehr ähnlich.,17
b1_0055,B1,die Ahnung,the hunch,die Ahnung,die,noun,,,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",17
b1_0056,B1,"die Aktion, -en","the action, -en","die Aktion, -en",die,noun,-en,,Die Stadt sollte eine Aktion für Familien planen.,17
b1_0057,B1,aktiv,active,aktiv,,word,,,Ich bin sehr aktiv und mache viel Sport.,17
b1_0058,B1,"die Aktivität, -en","the activity, -en","die Aktivität, -en",die,noun,-en,,In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktiv- itäten.,17
b1_0059,B1,aktuell,current,aktuell,,word,,,Umweltschutz ist ein aktuelles Thema.,17
b1_0060,B1,"akzeptieren, akzeptiert,","accept, accepted","akzeptieren, akzeptiert,",,word,,,Ich kann diese Bedingungen nicht,17
b1_0061,B1,"akzeptierte, hat akzeptiert","accepted, has accepted","akzeptierte, hat akzeptiert",,word,,,akzeptieren.,17
b1_0062,B1,"der Alarm, -e","the alarm, -e","der Alarm, -e",der,noun,-e,,Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,17
b1_0063,B1,der Alkohol,the alcohol,der Alkohol 1.,der,noun,,,"Du musst die Wunde mit Alkohol reinigen. || Nein, danke! || Ich trinke keinen Alkohol.",17
b1_0064,B1,all-,all-,all- 1.,,word,,,"Sind alle Kinder da? || Sonst noch (et)was? || – Nein, danke. || Das ist alles. || Alles Gute!",17
b1_0065,B1,allein,alone,allein 1.,,word,,,"Ich gehe nicht gern allein spazieren. || Soll ich Ihnen helfen? || – Danke, ich schaffe es schon allein. || Es war sehr teuer. || Allein das Essen hat schon über 50 Euro gekostet.",17
b1_0066,B1,aller-,all-,aller- 1.,,word,,,"Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. || Dann wirst du schnell wieder gesund. || Das ist das Allerschönste, was ich je gesehen habe.",17
b1_0067,B1,allerdings,however,allerdings,,word,,,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.",17
b1_0068,B1,allgemein,generally,allgemein 1.,,word,,,"Wir haben nur über allgemeine Probleme gesprochen. || Es ist allgemein bekannt, dass man hier gut essen kann. || Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.",17
b1_0069,B1,der Alltag,the everyday,der Alltag,der,noun,,,"Das ist mein Alltag: putzen, waschen, kochen.",17
b1_0070,B1,alltäglich1.,everyday1.,alltäglich1.,,word,,,Das alltägliche Leben ist manchmal langweilig. || Der Roman erzählt eine ganz alltägliche Geschichte.,17
b1_0071,B1,"das Alphabet, -e","das Alphabet, -e","das Alphabet, -e",das,noun,-e,,Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,17
b1_0072,B1,als,as,als 1.,,conjunction,,,"Als mein Mann kam, war die Party schon zu Ende. || Sie können sich sowohl persönlich als auch im Internet anmelden. || Meine Schwester ist älter als ich. || Es ist später, als ich dachte.",17
b1_0073,B1,als ob,as if,als ob,,conjunction,,,"Er tut so, als ob wir nie darüber gesprochen hätten.",17
b1_0074,B1,also,so,also 1.,,word,,,"Also, die Sache ist so: … || Irina hat Urlaub. || Sie kann uns also helfen. || Also wirklich, jetzt reicht es.",17
b1_0075,B1,alt,old,alt 1.,,word,,,Wie alt sind Sie? || Maria ist eine alte Freundin von mir.,17
b1_0076,B1,das Alter,the age,das Alter 1.,das,noun,,,Wir sind etwa im gleichen Alter. || Alter: 26 Jahre,17
b1_0077,B1,"das Altenheim, -e →","the old people's home, -e →","das Altenheim, -e →",das,noun,-e →,,Die Großeltern unserer Nachbarn sind,17
b1_0078,B1,Altersheim,retirement home,Altersheim,,noun,,,im Altenheim.,17
b1_0079,B1,"das Altersheim, -e →","the retirement home, -e →","das Altersheim, -e →",das,noun,-e →,,Die Großeltern unserer Nachbarn sind,17
b1_0080,B1,Altenheim,Nursing home,Altenheim,,noun,,,im Altersheim.,17
b1_0081,B1,alternativ,alternatively,alternativ,,word,,,Wir brauchen alternative Energien.,17
b1_0082,B1,"die Alternative, -n","the alternative, -n","die Alternative, -n",die,noun,-n,,Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,17
b1_0083,B1,"die Ampel, -n","the traffic light, -n","die Ampel, -n",die,noun,-n,,Dort an der Ampel kannst du über die Straße gehen.,17
b1_0084,B1,"das Amt, ¨-er","the office, ¨-er","das Amt, ¨-er",das,noun,¨-er,,Das Arbeitsamt befindet sich neben dem Busbahnhof.,17
b1_0085,B1,sich amüsieren,have fun,"sich amüsieren, amüsiert",,verb,,amüsiert,Bei dem Fest haben wir uns sehr gut,17
b1_0086,B1,"sich, amüsierte sich,","himself, amused himself","sich, amüsierte sich,",,word,,hat sich amüsiert,amüsiert.,17
b1_0087,B1,an,to,an 1.,,preposition,,,"Am Anfang war alles sehr schwierig. || Dann sehen wir uns also am Dienstag. || Ich warte am Bahnhof auf dich. || Am besten, du gehst zur Information und fragst da. || Das Licht war die ganze Nacht an.",17
b1_0088,B1,"analysieren, analysiert,","analyze, analyzed","analysieren, analysiert,",,word,,,Die Politiker analysieren die Situation,17
b1_0089,B1,"analysierte, hat analysiert","analyzed, has analyzed","analysierte, hat analysiert",,word,,,auf dem Arbeitsmarkt.,17
b1_0090,B1,"anbieten, bietet an,","offer, offers","anbieten, bietet an,",,word,,,Darf ich Ihnen etwas zu trinken,17
b1_0091,B1,bot an,offered,"bot an, hat angeboten",,verb,,hat angeboten,anbieten?,17
b1_0092,B1,"der Anbieter, -","the provider, -","der Anbieter, -",der,noun,-,,Ist das ein privater Telefonanbieter?,18
b1_0093,B1,"das Angebot, -e1.","the offer, -e1.","das Angebot, -e1.",das,noun,-e1.,,Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen. || Der Käse ist heute im Angebot.,18
b1_0094,B1,ander-,at the-,ander- 1.,,word,,,Die anderen sind schon nach Hause gegangen. || Bitte nicht alle auf einmal! || Einer nach dem anderen. || Ich hätte gern ein anderes Auto. || Natascha hat unter anderem Chinesisch und Spanisch gelernt.,18
b1_0095,B1,andererseits,on the other hand,andererseits,,word,,,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.",18
b1_0096,B1,"ändern, ändert, änderte,","change, changes, changed","ändern, ändert, änderte, 1.",,word,,hat geändert,Das Wetter hat sich geändert. || Ich habe meine Meinung inzwischen geändert.,18
b1_0097,B1,"die Änderung, -en","the change, -en","die Änderung, -en",die,noun,-en,,Es gibt eine Programmänderung.,18
b1_0098,B1,anders,different,anders 1.,,word,,,Anders geht das leider nicht. || Oliver ist anders als seine Freunde. || Ich würde das anders machen.,18
b1_0099,B1,"anerkennen, erkennt an,","acknowledge, acknowledge","anerkennen, erkennt an,",,word,,,Meine Ausbildung wird hier nicht,18
b1_0100,B1,"erkannte an,",acknowledged,"erkannte an,",,word,,hat anerkannt,anerkannt.,18
b1_0101,B1,"anfangen, fängt an,","start, start","anfangen, fängt an, 1.",,word,,,Wann fängst du mit der Arbeit an?,18
b1_0102,B1,"fing an, hat angefangen","started, started","fing an, hat angefangen 2.",,word,,,Hier fängt die Bahnhofstraße an.,18
b1_0103,B1,"der Anfang, ¨-e1.","the beginning, ¨-e1.","der Anfang, ¨-e1.",der,noun,¨-e1.,,"Wie war der Film? || – Ich habe nur den Anfang gesehen. || Am Anfang habe ich bei der Arbeit viele Fragen gestellt. || Mein Chef ist Anfang fünfzig. || Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe. || Wir machen Anfang Juli Ferien. || Meine Freundin wohnt am Anfang der Straße.",18
b1_0104,B1,anfangs,initially,anfangs,,word,,,Anfangs ging alles gut.,18
b1_0105,B1,"angeben, gibt an, gab an,","indicate, indicates, stated","angeben, gibt an, gab an,",,word,,hat angegeben,Bitte geben Sie Ihre genaue Adresse || an.,18
b1_0106,B1,"die Angabe,-n","the information,-n","die Angabe,-n",die,noun,-n,,"Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.",18
b1_0107,B1,"der Angehörige, -n","the relative, -n","der Angehörige, -n",der,noun,-n,,Der Arzt darf nur Familienangehörigen,18
b1_0108,B1,"die Angehörige, -n","the relatives, -n","die Angehörige, -n",die,noun,-n,,Auskunft geben.,18
b1_0109,B1,angenehm,pleasant,angenehm,,word,,,Wir wünschen Ihnen eine angenehme Reise.,18
b1_0110,B1,"die Angst, “-e","die Angst, “-e","die Angst, “-e 1.",die,noun,“-e 1.,,"Du brauchst keine Angst zu haben. || Der Hund tut dir nichts. || Ich habe Angst, vielleicht ist etwas passiert.",18
b1_0111,B1,ängstlich,fearful,ängstlich,,adjective,,,Meine Mutter ist etwas ängstlich. || Sie geht nicht gern allein auf die Straße.,18
b1_0112,B1,"anhaben, hat an, hatte an,","have on, has on, had on","anhaben, hat an, hatte an,",,word,,hat angehabt,Gestern hatte Julia ein rotes Kleid an.,18
b1_0113,B1,"anklicken, klickt an,","click, click","anklicken, klickt an,",,word,,,Du musst das Bild anklicken. || Dann,18
b1_0114,B1,"klickte an, hat angeklickt","clicked, clicked","klickte an, hat angeklickt",,word,,,wird es größer.,18
b1_0115,B1,"ankommen, kommt an,","arrive, arrive","ankommen, kommt an, 1.",,word,,,Wann kommt der Zug in Hamburg an?,18
b1_0116,B1,"kam an, ist angekommen","arrived, has arrived","kam an, ist angekommen 2.",,word,,,"Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.",18
b1_0117,B1,die Ankunft,the arrival,die Ankunft 1.,die,noun,,,"Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr. || Gleich nach der Ankunft habe ich meine Eltern angerufen.",18
b1_0118,B1,"ankündigen, kündigt an,","announce, announces","ankündigen, kündigt an,",,word,,,Wir sollten unseren Besuch,18
b1_0119,B1,"kündigte an,",announced,"kündigte an,",,word,,hat angekündigt,ankündigen.,18
b1_0120,B1,"die Anlage, -n","the facility, -n","die Anlage, -n 1.",die,noun,-n 1.,,Meine Musikanlage ist kaputt. || In der Anlage der E-Mail finden Sie meinen Lebenslauf.,18
b1_0121,B1,"die Anleitung, -en","the instructions, -en","die Anleitung, -en",die,noun,-en,,"In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.",18
b1_0122,B1,"anmelden, meldet an,","anmelden, meldet an,","anmelden, meldet an,",,word,,,Für diesen Kurs müssen Sie sich,18
b1_0123,B1,"meldete an,",reported,"meldete an,",,word,,hat angemeldet,unbedingt vorher anmelden.,18
b1_0124,B1,"die Anmeldung, -en1.","the registration, -en1.","die Anmeldung, -en1.",die,noun,-en1.,,"Wo bekomme ich die Formulare für die Anmeldung? || Die Anmeldung ist im Erdgeschoss, Zimmer 55.",18
b1_0125,B1,"annehmen, nimmt an,","accept, accepts","annehmen, nimmt an, 1.",,word,,,Ich nehme Ihre Einladung gern an.,18
b1_0126,B1,"nahm an,",accepted,"nahm an, 2.",,word,,hat angenommen,"Ich nehme an, dass Sie mit dem || Vorschlag einverstanden sind.",18
b1_0127,B1,"die Annonce, -n","the advertisement, -n","die Annonce, -n",die,noun,-n,,"Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.",18
b1_0128,B1,"die Anrede, -n","the salutation, -n","die Anrede, -n",die,noun,-n,,Du darfst im Brief die Anrede nicht vergessen.,18
b1_0129,B1,"anrufen, ruft an, rief an,","call, call, called","anrufen, ruft an, rief an,",,word,,hat angerufen,Ich rufe Sie heute Abend an.,18
b1_0130,B1,"der Anruf, -e","the call, -e","der Anruf, -e",der,noun,-e,,Ich warte auf einen Anruf aus Berlin.,18
b1_0131,B1,"der Anrufbeantworter, -","the answering machine, -","der Anrufbeantworter, -",der,noun,-,,Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,18
b1_0132,B1,"die Ansage, -n","the announcement, -n","die Ansage, -n",die,noun,-n,,Achten Sie auf die Ansage am Bahnsteig.,18
b1_0133,B1,"anschaffen, schafft an,","acquire, acquire","anschaffen, schafft an,",,word,,,Wir haben uns neue Möbel,19
b1_0134,B1,"schaffte an,",managed,"schaffte an,",,word,,hat angeschafft,angeschafft.,19
b1_0135,B1,"anschließen, schließt an,","connect, connect","anschließen, schließt an,",,word,,,Wo kann ich den Computer,19
b1_0136,B1,"schloss an,",connected,"schloss an,",,word,,hat angeschlossen,anschließen?,19
b1_0137,B1,"der Anschluss, ¨-e","the connection, ¨-e","der Anschluss, ¨-e 1.",der,noun,¨-e 1.,,In Mannheim haben Sie Anschluss nach Saarbrücken. || Ich brauche in meiner Wohnung einen Telefonanschluss.,19
b1_0138,B1,"anschnallen, schnallt an,","buckle up, buckle up","anschnallen, schnallt an,",,word,,,"Vergiss nicht, dich anzuschnallen.",19
b1_0139,B1,"schnallte an,",buckled up,"schnallte an,",,word,,hat angeschnallt,,19
b1_0140,B1,"ansehen, sieht an, sah an,","look at, looks at, looked at","ansehen, sieht an, sah an, 1.",,word,,hat angesehen,Warum siehst du mich so erschrocken || an? || Darf ich eure Urlaubsfotos ansehen?,19
b1_0141,B1,"ansprechen, spricht an,","ansprechen, spricht an,","ansprechen, spricht an,",,word,,,Gestern hat mich unsere neue,19
b1_0142,B1,"sprach an,",spoke up,"sprach an,",,word,,hat angesprochen,Nachbarin im Treppenhaus || angesprochen.,19
b1_0143,B1,"der Anspruch, ¨-e","the claim, ¨-e","der Anspruch, ¨-e",der,noun,¨-e,,Sie wohnen im Stadtzentrum. || Deshalb haben Sie keinen Anspruch auf Fahrgeld.,19
b1_0144,B1,"anstellen, stellt an,","hire, hire","anstellen, stellt an, 1.",,word,,,Können Sie bitte die Heizung,19
b1_0145,B1,"stellte an, hat angestellt","hired, hired","stellte an, hat angestellt",,word,,,anstellen? || Mein Schwager ist bei einer Möbelfirma angestellt. || Da vorne ist die Kasse. || Du musst dich anstellen.,19
b1_0146,B1,"der Angestellte, -n","the employee, -n","der Angestellte, -n",der,noun,-n,,Björn ist Angestellter in einem,19
b1_0147,B1,"die Angestellte, -n","the employee, -n","die Angestellte, -n",die,noun,-n,,Reisebüro.,19
b1_0148,B1,sich anstrengen,make an effort,"sich anstrengen, strengt 1.",,verb,,strengt 1.,Diese Arbeit strengt mich sehr an.,19
b1_0149,B1,sich an,yourself,"sich an, strengte sich an, 2.",,verb,,"strengte sich an, 2., hat sich angestrengt","Wenn du die Prüfung schaffen willst, || musst du dich mehr anstrengen.",19
b1_0150,B1,anstrengend,stressful,anstrengend,,word,,,Ich finde diese Arbeit sehr anstrengend.,19
b1_0151,B1,"der Antrag, ¨-e","the application, ¨-e","der Antrag, ¨-e",der,noun,¨-e,,Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,19
b1_0152,B1,"anwenden, wendet an,","apply, applies","anwenden, wendet an,",,word,,,Diese Salbe muss man dreimal am Tag,19
b1_0153,B1,"wandte an, hat ange-","applied, applied","wandte an, hat ange-",,word,,,anwenden.,19
b1_0154,B1,wandt/angewendet,applied/applied,wandt/angewendet,,word,,,,19
b1_0155,B1,anwesend,present,anwesend,,word,,,Bei dem Treffen waren alle Mitglieder anwesend.,19
b1_0156,B1,"antworten, antwortet,","answer, answer","antworten, antwortet,",,word,,,Jorge hat seit drei Wochen nicht auf,19
b1_0157,B1,"antwortete, hat geant-","answered, answered","antwortete, hat geant-",,word,,,meinen Brief geantwortet.,19
b1_0158,B1,wortet,says,wortet,,word,,,,19
b1_0159,B1,"die Antwort, -en",the answers,"die Antwort, -en",die,noun,-en,,Leider habe ich keine Antwort bekommen.,19
b1_0160,B1,"der Anwalt, ¨-e","the lawyer, ¨-e","der Anwalt, ¨-e",der,noun,¨-e,,Ich werde das nicht bezahlen. || Ich,19
b1_0161,B1,"die Anwältin, -nen","the lawyer, -nen","die Anwältin, -nen",die,noun,-nen,,möchte zuerst mit meinem Anwalt sprechen.,19
b1_0162,B1,"anzeigen, zeigt an,","show, shows","anzeigen, zeigt an,",,word,,,"Wenn Sie hier parken, zeige ich Sie an.",19
b1_0163,B1,"zeigte an, hat angezeigt","indicated, has indicated","zeigte an, hat angezeigt",,word,,,,19
b1_0164,B1,"die Anzeige, -n1.","the display, -n1.","die Anzeige, -n1.",die,noun,-n1.,,"Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer. || Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.",19
b1_0165,B1,(sich) anziehen,(to get dressed,"(sich) anziehen, zieht an, 1.",,verb,,"zieht an, 1.","Du musst dich wärmer anziehen, sonst",19
b1_0166,B1,zog an,pulled on,"zog an, hat angezogen",,verb,,hat angezogen,erkältest du dich. || Heute ziehe ich mein neues T-Shirt an.,19
b1_0167,B1,"der Anzug, ¨-e","the suit, ¨-e","der Anzug, ¨-e",der,noun,¨-e,,Mein Mann hat sich einen neuen Anzug gekauft.,19
b1_0168,B1,"das Apartment, -s","the apartment, -s","das Apartment, -s",das,noun,-s,,Wir haben ein Ferienapartment gemietet.,19
b1_0169,B1,"der Apfel, ¨-",the Apple-,"der Apfel, ¨-",der,noun,¨-,,Zum Frühstück esse ich jeden Tag einen Apfel.,19
b1_0170,B1,"die Apotheke, -n","the pharmacy, -n","die Apotheke, -n",die,noun,-n,,Ist hier in der Nähe eine Apotheke?,19
b1_0171,B1,"der Apparat, -e","the apparatus, -e","der Apparat, -e 1.",der,noun,-e 1.,,Können Sie den Apparat bitte etwas leiser stellen? || Wo ist mein Fotoapparat?,19
b1_0172,B1,der Appetit,the appetite,der Appetit 1.,der,noun,,,Ich habe heute keinen Appetit. || Ich mag nichts essen. || Auf was hast du Appetit? || Vielleicht auf einen Salat? || Guten Appetit!,19
b1_0173,B1,"die Aprikose, -n (D, CH) → Schmecken","the apricot, -n (D, CH) → taste","die Aprikose, -n (D, CH) → Schmecken",die,noun,"-n (D, CH) → Schmecken",,dir die Aprikosen?,19
b1_0174,B1,A: Marille,A: Apricot,A: Marille,,noun,,,,19
b1_0175,B1,"arbeiten, arbeitet,","work, works","arbeiten, arbeitet, 1.",,word,,,Er arbeitet heute bis 16 Uhr.,19
b1_0176,B1,"arbeitete, hat gearbeitet","worked, worked","arbeitete, hat gearbeitet 2.",,word,,,Arzu arbeitet als Krankenschwester im Krankenhaus.,19
b1_0177,B1,"die Arbeit, -en1.","the work, -en1.","die Arbeit, -en1.",die,noun,-en1.,,Wie gefällt dir deine Arbeit? || Nach der Ausbildung hat Mohamed eine Arbeit gefunden.,19
b1_0178,B1,"der Arbeiter, -","the worker, -","der Arbeiter, -",der,noun,-,,Maria ist seit zwei Jahren Arbeiterin,19
b1_0179,B1,"die Arbeiterin, -nen","the worker, -nen","die Arbeiterin, -nen",die,noun,-nen,,bei Siemens.,19
b1_0180,B1,die Arbeitserlaubnis,the work permit,die Arbeitserlaubnis,die,noun,,,Haben Sie eine Arbeitserlaubnis?,19
b1_0181,B1,arbeitslos,unemployed,arbeitslos,,word,,,Wie lange sind Sie schon arbeitslos?,19
b1_0182,B1,die Arbeitslosigkeit,the unemployment,die Arbeitslosigkeit,die,noun,,,Die Arbeitslosigkeit ist gesunken.,19
b1_0183,B1,"der Arbeitsplatz, ¨-e","the workplace, ¨-e","der Arbeitsplatz, ¨-e",der,noun,¨-e,,In der Industrie gibt es immer weniger Arbeitsplätze.,19
b1_0184,B1,"die Arbeitsstelle, -n","the job, -n","die Arbeitsstelle, -n",die,noun,-n,,Meine Frau hat eine neue Arbeitsstelle gefunden.,19
b1_0185,B1,"der Architekt, -en","the architect, -en","der Architekt, -en",der,noun,-en,,Dieses Haus hat eine berühmte,20
b1_0186,B1,"die Architektin, -nen","the architect, -nen","die Architektin, -nen",die,noun,-nen,,Architektin gebaut.,20
b1_0187,B1,(sich) ärgern,(get angry,"(sich) ärgern, ärgert, 1.",,verb,,"ärgert, 1.",Ärgern Sie sich nicht.,20
