id,level,word,meaning_en,meaning_tr,meaning_es,meaning_ar,full_entry,article,pos,plural,forms,examples,page
b1_0018,B1,"abheben, hebt ab, hob ab,","take off, take off, take off","kalkış, kalkış, kalkış","despegar, despegar, despegar",خلع، خلع، خلع,"abheben, hebt ab, hob ab,",,word,,hat abgehoben,Für die Reise habe ich 500 Euro von || meinem Konto abgehoben.,16
b1_0019,B1,"abholen, holt ab, holte ab,","pick up, picks up, picked up","almak, almak, aldı","recoger, recoger, recoger",يلتقط، يلتقط، يلتقط,"abholen, holt ab, holte ab,",,word,,hat abgeholt,Meine Freundin hat mich vom Bahnhof || abgeholt.,16
b1_0020,B1,"abschreiben, schreibt ab,","write off, write off","sil, sil","cancelar, cancelar",شطب، شطب,"abschreiben, schreibt ab,",,word,,,Er hat die Hausaufgaben von mir,16
b1_0021,B1,"schrieb ab,",wrote off,sildi,cancelado,شطب,"schrieb ab,",,word,,hat abgeschrieben,abgeschrieben.,16
b1_0022,B1,"das Abitur (D)→A, CH:","the Abitur (D)→A, CH:","Abitur (D)→A, CH:","el Abitur (D)→A, CH:",أبيتور (D) →A، CH:,"das Abitur (D)→A, CH:",das,noun,,,Meine Tochter hat gerade Abitur,16
b1_0023,B1,Matura,Matura,Matura,madura,ماتورا,Matura,,noun,,,gemacht.,16
b1_0024,B1,"ablehnen, lehnt ab,","reject, reject","reddetmek, reddetmek","rechazar, rechazar",رفض، رفض,"ablehnen, lehnt ab,",,word,,,"Er hat mein Angebot, ihm zu helfen,",16
b1_0025,B1,"lehnte ab, hat abgelehnt","refused, refused","reddedildi, reddedildi","rechazado, rechazado",رفض، رفض,"lehnte ab, hat abgelehnt",,word,,,abgelehnt.,16
b1_0026,B1,"abmachen, macht ab,","cancel, cancel","iptal etmek, iptal etmek","cancelar, cancelar",إلغاء، إلغاء,"abmachen, macht ab,",,word,,,"Wir hatten doch abgemacht, dass du",16
b1_0027,B1,"machte ab, hat abgemacht","made a deal, made a deal","bir anlaşma yaptım, bir anlaşma yaptım","hizo un trato, hizo un trato",عقد صفقة، عقد صفقة,"machte ab, hat abgemacht",,word,,,die Getränke besorgst.,16
b1_0028,B1,"abnehmen, nimmt ab,","decrease, decrease","azalma, azalma","disminuir, disminuir",نقصان، نقصان,"abnehmen, nimmt ab, 1.",,word,,,Morgen können wir den Verband,16
b1_0029,B1,"nahm ab,","nahm ab,",aldı,recogido,التقطت,"nahm ab,",,word,,hat abgenommen,abnehmen. || Ich habe zehn Kilo abgenommen.,16
b1_0030,B1,"abonnieren, abonniert,","subscribe, subscribed","abone oldum, abone oldum","suscríbete, suscrito",اشترك، اشترك,"abonnieren, abonniert,",,word,,,Diese Zeitschrift würde ich gerne,16
b1_0031,B1,"abonnierte, hat abonniert","subscribed, has subscribed","abone oldum, abone oldum","suscrito, se ha suscrito",اشتركت، اشتركت,"abonnierte, hat abonniert",,word,,,abonnieren.,16
b1_0032,B1,"das Abonnement, -s/-e","the subscription, -s/-e","abonelik, -s/-e","la suscripción, -s/-e",الاشتراك، -s/-e,"das Abonnement, -s/-e",das,noun,-s/-e,,Ich habe das Abonnement gekündigt.,16
b1_0033,B1,"absagen, sagt ab, sagte","cancel, cancel, said","iptal et, iptal et, dedi","cancelar, cancelar, dijo","""إلغاء، إلغاء""، قال","absagen, sagt ab, sagte",,word,,,"Ich muss unser Treffen leider absagen,",16
b1_0034,B1,"ab, hat abgesagt","off, canceled","kapalı, iptal edildi","apagado, cancelado",إيقاف، إلغاء,"ab, hat abgesagt",,preposition,,,weil ich krank geworden bin.,16
b1_0035,B1,"der Abschluss, ¨-e","the conclusion, ¨-e","sonuç, ¨-e","la conclusión, ¨-e",الاستنتاج، ¨-ه,"der Abschluss, ¨-e",der,noun,¨-e,,Ein guter Schulabschluss ist sehr wichtig.,16
b1_0036,B1,"der Abschnitt, -e","the section, -e","bölüm, -e","la sección, -e",القسم -ه,"der Abschnitt, -e",der,noun,-e,,Lesen Sie bitte den zweiten Abschnitt.,16
b1_0037,B1,"der Absender, -","the sender, -","gönderen, -","el remitente, -",المرسل، -,"der Absender, -",der,noun,-,,Schicken Sie das Paket an den,16
b1_0038,B1,"die Absenderin, -nen","the sender, -nen","gönderen, -nen","el remitente, -nen",المرسل، -نين,"die Absenderin, -nen",die,noun,-nen,,Absender zurück.,16
b1_0039,B1,"die Absicht, -en","the intention, -en","niyet, -tr","la intención, -es",النية، -en,"die Absicht, -en 1.",die,noun,-en 1.,,Entschuldigen Sie bitte. || Meine Tochter hat das nicht mit Absicht gemacht. || Hast du die Absicht zu studieren?,16
b1_0040,B1,absolut,absolutely,kesinlikle,absolutamente,قطعاً,absolut 1.,,word,,,"Was Sie da sagen, ist absolut falsch. || Ich habe absolutes Vertrauen zu dir.",16
b1_0041,B1,"abstimmen, stimmt ab, Lasst","vote, vote, let","oy verin, oy verin, izin verin","votar, votar, dejar",التصويت، التصويت، دعونا,"abstimmen, stimmt ab, Lasst",,word,,,uns über diesen Punkt abstimmen.,16
b1_0042,B1,"stimmte ab,",voted,oy verildi,votado,صوتوا,"stimmte ab,",,word,,hat abgestimmt,,16
b1_0043,B1,"die Abteilung, -en","the department, -en","die Abteilung, -en","el departamento, -es",القسم -en,"die Abteilung, -en",die,noun,-en,,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,16
b1_0044,B1,"der Abwart, -e","the caretaker, -e","bekçi, -e","el cuidador, -e",القائم بالرعاية، -ه,"der Abwart, -e",der,noun,-e,,"Der Abwart hat mir geholfen, den",16
b1_0045,B1,"die Abwartin, -nen (CH) →","the waiting woman, -nen (CH) →","bekleyen kadın, -nen (CH) →","la mujer que espera, -nen (CH) →",المرأة المنتظرة، -nen (CH) →,"die Abwartin, -nen (CH) →",die,noun,-nen (CH) →,,Schrank in die Wohnung zu tragen.,16
b1_0046,B1,"D, A: Hausmeister","D, A: caretaker","D, A: bekçi","D, A: cuidador",د، أ: حارس,"D, A: Hausmeister",,noun,,,,16
b1_0047,B1,abwärts,down,aşağı,abajo,تحت,abwärts,,word,,,Von dort führt der Weg abwärts ins Tal.,16
b1_0048,B1,"abwaschen, wäscht ab,","wash off, washes off","yıkar, yıkar","lavar, lavar",يغسل، يغسل,"abwaschen, wäscht ab,",,word,,,Ich muss noch das Geschirr abwaschen.,16
b1_0049,B1,"wusch ab,",washed off,yıkanmış,lavado,غسلها,"wusch ab,",,word,,hat abgewaschen,,16
b1_0050,B1,abwesend,absent,mevcut olmayan,ausente,غائب,abwesend,,word,,,Herr Huber ist bis zum 25. || April abwesend.,16
b1_0051,B1,"achten, achtet, achtete,","pay attention, pay attention, pay attention","dikkat et, dikkat et, dikkat et","presta atención, presta atención, presta atención",انتبه، انتبه، انتبه,"achten, achtet, achtete,",,word,,hat geachtet (auf),"Achten Sie bitte darauf, dass Sie || abschließen, wenn Sie gehen.",16
b1_0052,B1,Achtung!,Danger!,Tehlike!,¡Peligro!,خطر!,Achtung!,,noun,,,"Achtung, hier endet die Straße!",17
b1_0053,B1,"die Adresse, -n","the address, -n","adres, -n","la dirección, -n",العنوان، -ن,"die Adresse, -n",die,noun,-n,,Hast du schon meine neue Adresse?,17
b1_0054,B1,ähnlich,similar,benzer,similar,مشابه,ähnlich 1.,,adjective,,,Emilia ist in einer ganz ähnlichen Situation wie ich. || Oleg sieht seinem Bruder sehr ähnlich.,17
b1_0055,B1,die Ahnung,the hunch,önsezi,la corazonada,الحدس,die Ahnung,die,noun,,,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",17
b1_0056,B1,"die Aktion, -en","the action, -en","eylem, -tr","la acción, -es",العمل، -en,"die Aktion, -en",die,noun,-en,,Die Stadt sollte eine Aktion für Familien planen.,17
b1_0057,B1,aktiv,active,aktif,activo,نشيط,aktiv,,word,,,Ich bin sehr aktiv und mache viel Sport.,17
b1_0058,B1,"die Aktivität, -en","the activity, -en","etkinlik, -tr","la actividad, -es",النشاط، -en,"die Aktivität, -en",die,noun,-en,,In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktiv- itäten.,17
b1_0059,B1,aktuell,current,akım,actual,حاضِر,aktuell,,word,,,Umweltschutz ist ein aktuelles Thema.,17
b1_0060,B1,"akzeptieren, akzeptiert,","accept, accepted","kabul etmek, kabul etmek","aceptar, aceptado",قبول، قبول,"akzeptieren, akzeptiert,",,word,,,Ich kann diese Bedingungen nicht,17
b1_0061,B1,"akzeptierte, hat akzeptiert","accepted, has accepted","kabul edildi, kabul edildi","aceptado, ha aceptado",قبلت، قبلت,"akzeptierte, hat akzeptiert",,word,,,akzeptieren.,17
b1_0062,B1,"der Alarm, -e","the alarm, -e","alarm, -e","la alarma, -e",التنبيه، -ه,"der Alarm, -e",der,noun,-e,,Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,17
b1_0063,B1,der Alkohol,the alcohol,alkol,el alcohol,الكحول,der Alkohol 1.,der,noun,,,"Du musst die Wunde mit Alkohol reinigen. || Nein, danke! || Ich trinke keinen Alkohol.",17
b1_0064,B1,all-,all-,Tümü-,todo-,الجميع-,all- 1.,,word,,,"Sind alle Kinder da? || Sonst noch (et)was? || – Nein, danke. || Das ist alles. || Alles Gute!",17
b1_0065,B1,allein,alone,yalnız,solo,وحيد,allein 1.,,word,,,"Ich gehe nicht gern allein spazieren. || Soll ich Ihnen helfen? || – Danke, ich schaffe es schon allein. || Es war sehr teuer. || Allein das Essen hat schon über 50 Euro gekostet.",17
b1_0066,B1,aller-,all-,Tümü-,todo-,الجميع-,aller- 1.,,word,,,"Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. || Dann wirst du schnell wieder gesund. || Das ist das Allerschönste, was ich je gesehen habe.",17
b1_0067,B1,allerdings,however,Yine de,sin embargo,لكن,allerdings,,word,,,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.",17
b1_0068,B1,allgemein,generally,genel olarak,generalmente,عمومًا,allgemein 1.,,word,,,"Wir haben nur über allgemeine Probleme gesprochen. || Es ist allgemein bekannt, dass man hier gut essen kann. || Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.",17
b1_0069,B1,der Alltag,the everyday,gündelik,lo cotidiano,كل يوم,der Alltag,der,noun,,,"Das ist mein Alltag: putzen, waschen, kochen.",17
b1_0070,B1,alltäglich1.,everyday1.,her gün1.,todos los días1.,كل يوم1.,alltäglich1.,,word,,,Das alltägliche Leben ist manchmal langweilig. || Der Roman erzählt eine ganz alltägliche Geschichte.,17
b1_0071,B1,"das Alphabet, -e","das Alphabet, -e","alfabe, -e","el alfabeto, -e",الأبجدية، -e,"das Alphabet, -e",das,noun,-e,,Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,17
b1_0072,B1,als,as,gibi,como,مثل,als 1.,,conjunction,,,"Als mein Mann kam, war die Party schon zu Ende. || Sie können sich sowohl persönlich als auch im Internet anmelden. || Meine Schwester ist älter als ich. || Es ist später, als ich dachte.",17
b1_0073,B1,als ob,as if,güya,como si,كما لو,als ob,,conjunction,,,"Er tut so, als ob wir nie darüber gesprochen hätten.",17
b1_0074,B1,also,so,Bu yüzden,entonces,لذا,also 1.,,word,,,"Also, die Sache ist so: … || Irina hat Urlaub. || Sie kann uns also helfen. || Also wirklich, jetzt reicht es.",17
b1_0075,B1,alt,old,eskimiş,viejo,قديم,alt 1.,,word,,,Wie alt sind Sie? || Maria ist eine alte Freundin von mir.,17
b1_0076,B1,das Alter,the age,yaş,la edad,العمر,das Alter 1.,das,noun,,,Wir sind etwa im gleichen Alter. || Alter: 26 Jahre,17
b1_0077,B1,"das Altenheim, -e →","the old people's home, -e →","yaşlılar evi, -e →","la residencia de ancianos, -e →",دار المسنين، -e →,"das Altenheim, -e →",das,noun,-e →,,Die Großeltern unserer Nachbarn sind,17
b1_0078,B1,Altersheim,retirement home,huzur evi,casa de retiro,منزل التقاعد,Altersheim,,noun,,,im Altenheim.,17
b1_0079,B1,"das Altersheim, -e →","the retirement home, -e →","huzurevi, -e →","la casa de retiro, -e →",دار المسنين، -e →,"das Altersheim, -e →",das,noun,-e →,,Die Großeltern unserer Nachbarn sind,17
b1_0080,B1,Altenheim,Nursing home,Huzurevi,Asilo de ancianos,دار التمريض,Altenheim,,noun,,,im Altersheim.,17
b1_0081,B1,alternativ,alternatively,alternatif olarak,alternativamente,بدلاً عن ذلك,alternativ,,word,,,Wir brauchen alternative Energien.,17
b1_0082,B1,"die Alternative, -n","the alternative, -n","die Alternative, -n","la alternativa, -n",البديل، -ن,"die Alternative, -n",die,noun,-n,,Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,17
b1_0083,B1,"die Ampel, -n","the traffic light, -n","trafik ışığı, -n","el semáforo, -n",إشارة المرور، -ن,"die Ampel, -n",die,noun,-n,,Dort an der Ampel kannst du über die Straße gehen.,17
b1_0084,B1,"das Amt, ¨-er","the office, ¨-er","ofis, ¨-er","la oficina, ¨-er",المكتب، ¨-إيه,"das Amt, ¨-er",das,noun,¨-er,,Das Arbeitsamt befindet sich neben dem Busbahnhof.,17
b1_0085,B1,sich amüsieren,have fun,iyi eğlenceler,divertirse,استمتع,"sich amüsieren, amüsiert",,verb,,amüsiert,Bei dem Fest haben wir uns sehr gut,17
b1_0086,B1,"sich, amüsierte sich,","himself, amused himself",kendisi eğlendi,"él mismo, se divirtió",نفسه، مسليا نفسه,"sich, amüsierte sich,",,word,,hat sich amüsiert,amüsiert.,17
b1_0087,B1,an,to,ile,a,ل,an 1.,,preposition,,,"Am Anfang war alles sehr schwierig. || Dann sehen wir uns also am Dienstag. || Ich warte am Bahnhof auf dich. || Am besten, du gehst zur Information und fragst da. || Das Licht war die ganze Nacht an.",17
b1_0088,B1,"analysieren, analysiert,","analyze, analyzed","analiz etmek, analiz etmek","analizar, analizado",تحليل، تحليل,"analysieren, analysiert,",,word,,,Die Politiker analysieren die Situation,17
b1_0089,B1,"analysierte, hat analysiert","analyzed, has analyzed","analiz etti, analiz etti","analizado, ha analizado",تم تحليله، تم تحليله,"analysierte, hat analysiert",,word,,,auf dem Arbeitsmarkt.,17
b1_0090,B1,"anbieten, bietet an,","offer, offers","teklif, teklifler","oferta, ofertas",عرض، عروض,"anbieten, bietet an,",,word,,,Darf ich Ihnen etwas zu trinken,17
b1_0091,B1,bot an,offered,teklif edildi,ofrecido,عرضت,"bot an, hat angeboten",,verb,,hat angeboten,anbieten?,17
b1_0092,B1,"der Anbieter, -","the provider, -","sağlayıcı, -","el proveedor, -",المزود، -,"der Anbieter, -",der,noun,-,,Ist das ein privater Telefonanbieter?,18
b1_0093,B1,"das Angebot, -e1.","the offer, -e1.","teklif, -e1.","la oferta, -e1.",العرض، -e1.,"das Angebot, -e1.",das,noun,-e1.,,Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen. || Der Käse ist heute im Angebot.,18
b1_0094,B1,ander-,at the-,en...,al-,في-,ander- 1.,,word,,,Die anderen sind schon nach Hause gegangen. || Bitte nicht alle auf einmal! || Einer nach dem anderen. || Ich hätte gern ein anderes Auto. || Natascha hat unter anderem Chinesisch und Spanisch gelernt.,18
b1_0095,B1,andererseits,on the other hand,diğer taraftan,por otro lado,على الجانب الآخر,andererseits,,word,,,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.",18
b1_0096,B1,"ändern, ändert, änderte,","change, changes, changed","değişiklik, değişiklikler, değişti","cambio, cambios, cambiado",تغير، تغير، تغير,"ändern, ändert, änderte, 1.",,word,,hat geändert,Das Wetter hat sich geändert. || Ich habe meine Meinung inzwischen geändert.,18
b1_0097,B1,"die Änderung, -en","the change, -en","değişiklik, -tr",el cambio,التغيير، -en,"die Änderung, -en",die,noun,-en,,Es gibt eine Programmänderung.,18
b1_0098,B1,anders,different,farklı,diferente,مختلف,anders 1.,,word,,,Anders geht das leider nicht. || Oliver ist anders als seine Freunde. || Ich würde das anders machen.,18
b1_0099,B1,"anerkennen, erkennt an,","acknowledge, acknowledge","kabul etmek, kabul etmek","reconocer, reconocer",اعترف، اعترف,"anerkennen, erkennt an,",,word,,,Meine Ausbildung wird hier nicht,18
b1_0100,B1,"erkannte an,",acknowledged,kabul edildi,admitido,اعترف,"erkannte an,",,word,,hat anerkannt,anerkannt.,18
b1_0101,B1,"anfangen, fängt an,","start, start","başla, başla","empezar, empezar",ابدأ، ابدأ,"anfangen, fängt an, 1.",,word,,,Wann fängst du mit der Arbeit an?,18
b1_0102,B1,"fing an, hat angefangen","started, started","başladı, başladı","comenzó, comenzó",بدأت، بدأت,"fing an, hat angefangen 2.",,word,,,Hier fängt die Bahnhofstraße an.,18
b1_0103,B1,"der Anfang, ¨-e1.","the beginning, ¨-e1.","başlangıç, ¨-e1.","el principio, ¨-e1.",البداية، ¨-e1.,"der Anfang, ¨-e1.",der,noun,¨-e1.,,"Wie war der Film? || – Ich habe nur den Anfang gesehen. || Am Anfang habe ich bei der Arbeit viele Fragen gestellt. || Mein Chef ist Anfang fünfzig. || Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe. || Wir machen Anfang Juli Ferien. || Meine Freundin wohnt am Anfang der Straße.",18
b1_0104,B1,anfangs,initially,ilk olarak,inicialmente,بدءًا,anfangs,,word,,,Anfangs ging alles gut.,18
b1_0105,B1,"angeben, gibt an, gab an,","indicate, indicates, stated","belirtmek, belirtmek, belirtmek","indicar, indica, afirmado",يشير، يشير، ذكر,"angeben, gibt an, gab an,",,word,,hat angegeben,Bitte geben Sie Ihre genaue Adresse || an.,18
b1_0106,B1,"die Angabe,-n","the information,-n","bilgi, -n","la información,-n",المعلومات،-ن,"die Angabe,-n",die,noun,-n,,"Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.",18
b1_0107,B1,"der Angehörige, -n","the relative, -n","akraba, -n","el relativo, -n",النسبي، -ن,"der Angehörige, -n",der,noun,-n,,Der Arzt darf nur Familienangehörigen,18
b1_0108,B1,"die Angehörige, -n","the relatives, -n","akrabalar, -n","los familiares, -n",الأقارب، -ن,"die Angehörige, -n",die,noun,-n,,Auskunft geben.,18
b1_0109,B1,angenehm,pleasant,güzel,agradable,جَذّاب,angenehm,,word,,,Wir wünschen Ihnen eine angenehme Reise.,18
b1_0110,B1,"die Angst, “-e","die Angst, “-e","korku, “-e","el miedo, “-e","الخوف ""-ه","die Angst, “-e 1.",die,noun,“-e 1.,,"Du brauchst keine Angst zu haben. || Der Hund tut dir nichts. || Ich habe Angst, vielleicht ist etwas passiert.",18
b1_0111,B1,ängstlich,fearful,korkunç,temeroso,مخيف,ängstlich,,adjective,,,Meine Mutter ist etwas ängstlich. || Sie geht nicht gern allein auf die Straße.,18
b1_0112,B1,"anhaben, hat an, hatte an,","have on, has on, had on","vardı, vardı, vardı","tener en, tiene en, tenía en",لقد كان على، كان على، كان على,"anhaben, hat an, hatte an,",,word,,hat angehabt,Gestern hatte Julia ein rotes Kleid an.,18
b1_0113,B1,"anklicken, klickt an,","click, click","tıklayın, tıklayın","haga clic, haga clic",انقر فوق,"anklicken, klickt an,",,word,,,Du musst das Bild anklicken. || Dann,18
b1_0114,B1,"klickte an, hat angeklickt","clicked, clicked","tıkladım, tıkladım","hizo clic, hizo clic",تم النقر عليه، تم النقر عليه,"klickte an, hat angeklickt",,word,,,wird es größer.,18
b1_0115,B1,"ankommen, kommt an,","arrive, arrive","varmak, varmak","llegar, llegar",يصل، يصل,"ankommen, kommt an, 1.",,word,,,Wann kommt der Zug in Hamburg an?,18
b1_0116,B1,"kam an, ist angekommen","arrived, has arrived","geldi, geldi","llegó, ha llegado",وصل، وصل,"kam an, ist angekommen 2.",,word,,,"Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.",18
b1_0117,B1,die Ankunft,the arrival,varış,La llegada,الوصول,die Ankunft 1.,die,noun,,,"Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr. || Gleich nach der Ankunft habe ich meine Eltern angerufen.",18
b1_0118,B1,"ankündigen, kündigt an,","announce, announces","duyuruyor, duyuruyor","anunciar, anuncia",يعلن، يعلن,"ankündigen, kündigt an,",,word,,,Wir sollten unseren Besuch,18
b1_0119,B1,"kündigte an,",announced,duyuruldu,anunciado,أعلن,"kündigte an,",,word,,hat angekündigt,ankündigen.,18
b1_0120,B1,"die Anlage, -n","the facility, -n","tesis, -n","la instalación, -n",المنشأة، -ن,"die Anlage, -n 1.",die,noun,-n 1.,,Meine Musikanlage ist kaputt. || In der Anlage der E-Mail finden Sie meinen Lebenslauf.,18
b1_0121,B1,"die Anleitung, -en","the instructions, -en","talimatlar, -tr","las instrucciones, -es",التعليمات، -en,"die Anleitung, -en",die,noun,-en,,"In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.",18
b1_0122,B1,"anmelden, meldet an,","anmelden, meldet an,","giriş yap, giriş yap","iniciar sesión, iniciar sesión",تسجيل الدخول، تسجيل الدخول,"anmelden, meldet an,",,word,,,Für diesen Kurs müssen Sie sich,18
b1_0123,B1,"meldete an,",reported,rapor edildi,reportado,ذكرت,"meldete an,",,word,,hat angemeldet,unbedingt vorher anmelden.,18
b1_0124,B1,"die Anmeldung, -en1.","the registration, -en1.","kayıt, -en1.","el registro, -en1.",التسجيل -en1.,"die Anmeldung, -en1.",die,noun,-en1.,,"Wo bekomme ich die Formulare für die Anmeldung? || Die Anmeldung ist im Erdgeschoss, Zimmer 55.",18
b1_0125,B1,"annehmen, nimmt an,","accept, accepts","kabul et, kabul eder","aceptar, acepta",يقبل، يقبل,"annehmen, nimmt an, 1.",,word,,,Ich nehme Ihre Einladung gern an.,18
b1_0126,B1,"nahm an,",accepted,kabul edildi,aceptado,مقبول,"nahm an, 2.",,word,,hat angenommen,"Ich nehme an, dass Sie mit dem || Vorschlag einverstanden sind.",18
b1_0127,B1,"die Annonce, -n","the advertisement, -n","reklam, -n","el anuncio, -n",الإعلان، -ن,"die Annonce, -n",die,noun,-n,,"Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.",18
b1_0128,B1,"die Anrede, -n","the salutation, -n","selamlama, -n","el saludo, -n",التحية، -ن,"die Anrede, -n",die,noun,-n,,Du darfst im Brief die Anrede nicht vergessen.,18
b1_0129,B1,"anrufen, ruft an, rief an,","call, call, called","çağrı, çağrı, çağrıldı","llamar, llamar, llamar",اتصل، اتصل، اتصل,"anrufen, ruft an, rief an,",,word,,hat angerufen,Ich rufe Sie heute Abend an.,18
b1_0130,B1,"der Anruf, -e","the call, -e","çağrı, -e","la llamada, -e",المكالمة، -ه,"der Anruf, -e",der,noun,-e,,Ich warte auf einen Anruf aus Berlin.,18
b1_0131,B1,"der Anrufbeantworter, -","the answering machine, -","telesekreter, -","el contestador automático, -",جهاز الرد الآلي، -,"der Anrufbeantworter, -",der,noun,-,,Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,18
b1_0132,B1,"die Ansage, -n","the announcement, -n","duyuru, -n","el anuncio, -n",الإعلان، -ن,"die Ansage, -n",die,noun,-n,,Achten Sie auf die Ansage am Bahnsteig.,18
b1_0133,B1,"anschaffen, schafft an,","acquire, acquire","edinmek, edinmek","adquirir, adquirir",يكتسب، يكتسب,"anschaffen, schafft an,",,word,,,Wir haben uns neue Möbel,19
b1_0134,B1,"schaffte an,",managed,"schaffte an,",administrado,تمكنت,"schaffte an,",,word,,hat angeschafft,angeschafft.,19
b1_0135,B1,"anschließen, schließt an,","connect, connect","bağlanmak, bağlanmak","conectar, conectar",الاتصال، الاتصال,"anschließen, schließt an,",,word,,,Wo kann ich den Computer,19
b1_0136,B1,"schloss an,",connected,"schloss an,",conectado,متصل,"schloss an,",,word,,hat angeschlossen,anschließen?,19
b1_0137,B1,"der Anschluss, ¨-e","the connection, ¨-e","bağlantı, ¨-e","la conexión, ¨-e",الاتصال، ¨-ه,"der Anschluss, ¨-e 1.",der,noun,¨-e 1.,,In Mannheim haben Sie Anschluss nach Saarbrücken. || Ich brauche in meiner Wohnung einen Telefonanschluss.,19
